                                                                       07 Mar 2017 13:35:19
Place-INPE-CRN-To-Satellite-Scd2


Start Time (DD/MM/YYYY)     Stop Time (DD/MM/YYYY)    Duration (sec)    Max Elevation (deg)
07/03/2017 03:15:08.000           11.661              0.225    3142.914507
07/03/2017 03:15:09.000           11.789              0.229    3142.461591
07/03/2017 03:15:10.000           11.916              0.233    3142.020860
07/03/2017 03:15:11.000           12.044              0.237    3141.592321
07/03/2017 03:15:12.000           12.171              0.242    3141.175980
07/03/2017 03:15:13.000           12.299              0.246    3140.771842
07/03/2017 03:15:14.000           12.427              0.249    3140.379913
07/03/2017 03:15:15.000           12.554              0.253    3140.000196
07/03/2017 03:15:16.000           12.682              0.257    3139.632697
07/03/2017 03:15:17.000           12.810              0.260    3139.277422
07/03/2017 03:15:18.000           12.938              0.264    3138.934375
07/03/2017 03:15:19.000           13.066              0.267    3138.603560
07/03/2017 03:15:20.000           13.193              0.270    3138.284982
07/03/2017 03:15:21.000           13.321              0.273    3137.978645
07/03/2017 03:15:22.000           13.449              0.276    3137.684553
07/03/2017 03:15:23.000           13.577              0.279    3137.402712
07/03/2017 03:15:24.000           13.705              0.282    3137.133122
07/03/2017 03:15:25.000           13.833              0.285    3136.875789
07/03/2017 03:15:26.000           13.961              0.287    3136.630715
07/03/2017 03:15:27.000           14.089              0.290    3136.397905
07/03/2017 03:15:28.000           14.217              0.292    3136.177362
07/03/2017 03:15:29.000           14.345              0.294    3135.969088
07/03/2017 03:15:30.000           14.473              0.296    3135.773086
07/03/2017 03:15:31.000           14.601              0.298    3135.589359
07/03/2017 03:15:32.000           14.729              0.300    3135.417909
07/03/2017 03:15:33.000           14.858              0.302    3135.258740
07/03/2017 03:15:34.000           14.986              0.304    3135.111853
07/03/2017 03:15:35.000           15.114              0.305    3134.977250
07/03/2017 03:15:36.000           15.242              0.307    3134.854933
07/03/2017 03:15:37.000           15.370              0.308    3134.744904
07/03/2017 03:15:38.000           15.498              0.309    3134.647164
07/03/2017 03:15:39.000           15.626              0.310    3134.561717
07/03/2017 03:15:40.000           15.755              0.311    3134.488561
07/03/2017 03:15:41.000           15.883              0.312    3134.427698
07/03/2017 03:15:42.000           16.011              0.313    3134.379129
07/03/2017 03:15:43.000           16.139              0.313    3134.342856
07/03/2017 03:15:44.000           16.267              0.314    3134.318879
07/03/2017 03:15:45.000           16.396              0.314    3134.307198
07/03/2017 03:15:46.000           16.524              0.315    3134.307814
07/03/2017 03:15:47.000           16.652              0.315    3134.320727
07/03/2017 03:15:48.000           16.780              0.315    3134.345937
07/03/2017 03:15:49.000           16.908              0.315    3134.383443
07/03/2017 03:15:50.000           17.037              0.315    3134.433247
07/03/2017 03:15:51.000           17.165              0.315    3134.495346
07/03/2017 03:15:52.000           17.293              0.314    3134.569742
07/03/2017 03:15:53.000           17.421              0.314    3134.656432
07/03/2017 03:15:54.000           17.549              0.313    3134.755414
07/03/2017 03:15:55.000           17.677              0.312    3134.866692
07/03/2017 03:15:56.000           17.806              0.312    3134.990260
07/03/2017 03:15:57.000           17.934              0.311    3135.126120
07/03/2017 03:15:58.000           18.062              0.310    3135.274268
07/03/2017 03:15:59.000           18.190              0.309    3135.434703
07/03/2017 03:16:00.000           18.318              0.307    3135.607424
07/03/2017 03:16:01.000           18.446              0.306    3135.792428
07/03/2017 03:16:02.000           18.574              0.304    3135.989714
07/03/2017 03:16:03.000           18.702              0.303    3136.199278
07/03/2017 03:16:04.000           18.830              0.301    3136.421119
07/03/2017 03:16:05.000           18.958              0.299    3136.655234
07/03/2017 03:16:06.000           19.086              0.297    3136.901621
07/03/2017 03:16:07.000           19.214              0.295    3137.160275
07/03/2017 03:16:08.000           19.342              0.293    3137.431195
07/03/2017 03:16:09.000           19.470              0.291    3137.714376
07/03/2017 03:16:10.000           19.598              0.289    3138.009815
07/03/2017 03:16:11.000           19.726              0.286    3138.317510
07/03/2017 03:16:12.000           19.854              0.284    3138.637457
07/03/2017 03:16:13.000           19.982              0.281    3138.969651
07/03/2017 03:16:14.000           20.110              0.278    3139.314088
07/03/2017 03:16:15.000           20.237              0.275    3139.670766
07/03/2017 03:16:16.000           20.365              0.272    3140.039678
07/03/2017 03:16:17.000           20.493              0.269    3140.420821
07/03/2017 03:16:18.000           20.620              0.266    3140.814190
07/03/2017 03:16:19.000           20.748              0.262    3141.219779
07/03/2017 03:16:20.000           20.876              0.259    3141.637585
07/03/2017 03:16:21.000           21.003              0.255    3142.067603
07/03/2017 03:16:22.000           21.131              0.252    3142.509828
07/03/2017 03:16:23.000           21.258              0.248    3142.964253
07/03/2017 03:16:24.000           21.386              0.244    3143.430873
07/03/2017 03:16:25.000           21.513              0.240    3143.909683
07/03/2017 03:16:26.000           21.641              0.236    3144.400675
07/03/2017 03:16:27.000           21.768              0.232    3144.903847
07/03/2017 03:16:28.000           21.895              0.227    3145.419190
07/03/2017 03:16:29.000           22.023              0.223    3145.946699
07/03/2017 03:16:30.000           22.150              0.218    3146.486367
07/03/2017 03:16:31.000           22.277              0.213    3147.038186
07/03/2017 03:16:32.000           22.404              0.209    3147.602152
07/03/2017 03:16:33.000           22.531              0.204    3148.178257
07/03/2017 03:16:34.000           22.659              0.199    3148.766495
07/03/2017 03:16:35.000           22.786              0.194    3149.366857
07/03/2017 03:16:36.000           22.913              0.188    3149.979337
07/03/2017 03:16:37.000           23.039              0.183    3150.603925
07/03/2017 03:16:38.000           23.166              0.178    3151.240617
07/03/2017 03:16:39.000           23.293              0.172    3151.889404
07/03/2017 03:16:40.000           23.420              0.166    3152.550279
07/03/2017 03:16:41.000           23.547              0.161    3153.223230
07/03/2017 03:16:42.000           23.673              0.155    3153.908254
07/03/2017 03:16:43.000           23.800              0.149    3154.605340
07/03/2017 03:16:44.000           23.926              0.143    3155.314481
07/03/2017 03:16:45.000           24.053              0.137    3156.035667
07/03/2017 03:16:46.000           24.179              0.130    3156.768888
07/03/2017 03:16:47.000           24.306              0.124    3157.514138
07/03/2017 03:16:48.000           24.432              0.117    3158.271408
07/03/2017 03:16:49.000           24.558              0.111    3159.040687
07/03/2017 03:16:50.000           24.684              0.104    3159.821964
07/03/2017 03:16:51.000           24.811              0.097    3160.615235
07/03/2017 03:16:52.000           24.937              0.090    3161.420487
07/03/2017 03:16:53.000           25.063              0.083    3162.237709
07/03/2017 03:16:54.000           25.189              0.076    3163.066895
07/03/2017 03:16:55.000           25.314              0.069    3163.908032
07/03/2017 03:16:56.000           25.440              0.061    3164.761112
07/03/2017 03:16:57.000           25.566              0.054    3165.626121
07/03/2017 03:16:58.000           25.692              0.046    3166.503053
07/03/2017 03:16:59.000           25.817              0.039    3167.391896
07/03/2017 03:17:00.000           25.943              0.031    3168.292637
07/03/2017 03:17:01.000           26.068              0.023    3169.205269
07/03/2017 03:17:02.000           26.194              0.015    3170.129780
07/03/2017 03:17:03.000           26.319              0.007    3171.066158
07/03/2017 03:17:03.830           26.423              0.000    3171.852608

   Time (DD/MM/YYYY)       Azimuth (deg)    Elevation (deg)     Range (km)
-----------------------    -------------    ---------------    -----------
07/03/2017 04:56:49.753          332.286              0.000    3172.057373
07/03/2017 04:56:50.000          332.306              0.010    3170.902516
07/03/2017 04:56:51.000          332.391              0.053    3166.221390
07/03/2017 04:56:52.000          332.475              0.095    3161.545608
07/03/2017 04:56:53.000          332.560              0.138    3156.875194
07/03/2017 04:56:54.000          332.645              0.180    3152.210181
07/03/2017 04:56:55.000          332.730              0.223    3147.550593
07/03/2017 04:56:56.000          332.816              0.265    3142.896462
07/03/2017 04:56:57.000          332.902              0.308    3138.247817
07/03/2017 04:56:58.000          332.988              0.350    3133.604686
07/03/2017 04:56:59.000          333.074              0.393    3128.967100
07/03/2017 04:57:00.000          333.161              0.435    3124.335084
07/03/2017 04:57:01.000          333.248              0.478    3119.708673
07/03/2017 04:57:02.000          333.335              0.520    3115.087893
07/03/2017 04:57:03.000          333.422              0.563    3110.472776
07/03/2017 04:57:04.000          333.510              0.606    3105.863348
07/03/2017 04:57:05.000          333.598              0.648    3101.259642
07/03/2017 04:57:06.000          333.686              0.691    3096.661690
07/03/2017 04:57:07.000          333.774              0.733    3092.069519
07/03/2017 04:57:08.000          333.863              0.776    3087.483161
07/03/2017 04:57:09.000          333.952              0.819    3082.902645
07/03/2017 04:57:10.000          334.041              0.861    3078.328004
07/03/2017 04:57:11.000          334.130              0.904    3073.759266
07/03/2017 04:57:12.000          334.220              0.947    3069.196466
07/03/2017 04:57:13.000          334.310              0.989    3064.639630
07/03/2017 04:57:14.000          334.400              1.032    3060.088794
07/03/2017 04:57:15.000          334.491              1.075    3055.543986
07/03/2017 04:57:16.000          334.581              1.118    3051.005240
07/03/2017 04:57:17.000          334.672              1.160    3046.472585
07/03/2017 04:57:18.000          334.764              1.203    3041.946056
07/03/2017 04:57:19.000          334.855              1.246    3037.425681
07/03/2017 04:57:20.000          334.947              1.289    3032.911496
07/03/2017 04:57:21.000          335.039              1.331    3028.403530
07/03/2017 04:57:22.000          335.131              1.374    3023.901819
